date,open,high,low,close,volume
2017-10-04,13307.0,13972.0,13449.0,13884.0,4785283
2017-10-07,13884.0,13969.0,13550.0,13707.0,1464964
2017-10-08,13707.0,14180.0,13411.0,13778.0,5700244
2017-10-09,13778.0,13700.0,13090.0,13183.0,10184833
2017-10-10,13183.0,13430.0,13203.0,13348.0,2286606
2017-10-11,13348.0,13577.0,13300.0,13464.0,2426401
2017-10-14,13464.0,13735.0,13480.0,13620.0,2611891
2017-10-15,13620.0,13900.0,13601.0,13794.0,1892254
2017-10-16,13794.0,13900.0,13790.0,13820.0,649344
2017-10-17,13820.0,14100.0,13840.0,13981.0,2607897
2017-10-18,13981.0,14188.0,13991.0,14018.0,3317884
2017-10-21,14018.0,14201.0,14003.0,14177.0,1473428
2017-10-22,14177.0,14353.0,14177.0,14283.0,1372328
2017-10-23,14283.0,14439.0,14286.0,14381.0,999481
2017-10-24,14381.0,14481.0,14380.0,14424.0,1135524
2017-10-25,14424.0,14697.0,14370.0,14567.0,2528549
2017-10-28,14567.0,14530.0,14394.0,14429.0,2320954
2017-10-29,14429.0,14470.0,14030.0,14168.0,1726041
2017-10-30,14168.0,14294.0,13650.0,13967.0,714286
2017-10-31,13967.0,14150.0,13999.0,14047.0,1024897
2017-11-01,14047.0,14201.0,14100.0,14139.0,1399233
2017-11-04,14139.0,14250.0,14057.0,14149.0,428831
2017-11-05,14149.0,14333.0,14089.0,14221.0,934157
2017-11-06,14221.0,14447.0,14152.0,14309.0,641689
2017-11-07,14309.0,14470.0,14286.0,14324.0,1615231
2017-11-08,14324.0,14659.0,14231.0,14402.0,1429285
2017-11-11,14402.0,14650.0,14372.0,14423.0,1198202
2017-11-12,14423.0,14600.0,14375.0,14478.0,702039
2017-11-13,14478.0,14550.0,14381.0,14484.0,591303
2017-11-14,14484.0,14664.0,14450.0,14588.0,757104
2017-11-15,14588.0,14700.0,14404.0,14644.0,795688
2017-11-18,14644.0,14730.0,14510.0,14634.0,350437
2017-11-20,14634.0,14680.0,14535.0,14618.0,458498
2017-11-21,14618.0,15348.0,14690.0,15066.0,859844
2017-11-22,15066.0,15690.0,15001.0,15530.0,897484
2017-11-25,15530.0,15898.0,15600.0,15758.0,598356
2017-11-26,15758.0,16100.0,15501.0,15743.0,422278
